A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
b,30.83,0.0,u,g,w,v,1.25,t,t,1,f,g,202.0,0,1
a,58.67,4.46,u,g,q,h,3.04,t,t,6,f,g,43.0,560,1
a,24.5,0.5,u,g,q,h,1.5,t,f,0,f,g,280.0,824,1
b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100.0,3,1
b,20.17,5.625,u,g,w,v,1.71,t,f,0,f,s,120.0,0,1
b,32.08,4.0,u,g,m,v,2.5,t,f,0,t,g,360.0,0,1
b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164.0,31285,1
a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,80.0,1349,1
b,54.42,0.5,y,p,k,h,3.96,t,f,0,f,g,180.0,314,1
b,42.5,4.915,y,p,w,v,3.165,t,f,0,t,g,52.0,1442,1
b,22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,128.0,0,1
b,29.92,1.835,u,g,c,h,4.335,t,f,0,f,g,260.0,200,1
a,38.25,6.0,u,g,k,v,1.0,t,f,0,t,g,0.0,0,1
b,48.08,6.04,u,g,k,v,0.04,f,f,0,f,g,0.0,2690,1
a,45.83,10.5,u,g,q,v,5.0,t,t,7,t,g,0.0,0,1
b,36.67,4.415,y,p,k,v,0.25,t,t,10,t,g,320.0,0,1
b,28.25,0.875,u,g,m,v,0.96,t,t,3,t,g,396.0,0,1
a,23.25,5.875,u,g,q,v,3.17,t,t,10,f,g,120.0,245,1
b,21.83,0.25,u,g,d,h,0.665,t,f,0,t,g,0.0,0,1
a,19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,96.0,0,1
b,25.0,11.25,u,g,c,v,2.5,t,t,17,f,g,200.0,1208,1
b,23.25,1.0,u,g,c,v,0.835,t,f,0,f,s,300.0,0,1
a,47.75,8.0,u,g,c,v,7.875,t,t,6,t,g,0.0,1260,1
a,27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,120.0,11,1
a,41.17,6.5,u,g,q,v,0.5,t,t,3,t,g,145.0,0,1
a,15.83,0.585,u,g,c,h,1.5,t,t,2,f,g,100.0,0,1
a,47.0,13.0,u,g,i,bb,5.165,t,t,9,t,g,0.0,0,1
b,56.58,18.5,u,g,d,bb,15.0,t,t,17,t,g,0.0,0,1
b,57.42,8.5,u,g,e,h,7.0,t,t,3,f,g,0.0,0,1
b,42.08,1.04,u,g,w,v,5.0,t,t,6,t,g,500.0,10000,1
b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168.0,0,1
b,42.0,9.79,u,g,x,h,7.96,t,t,8,f,g,0.0,0,1
b,49.5,7.585,u,g,i,bb,7.585,t,t,15,t,g,0.0,5000,1
a,36.75,5.125,u,g,e,v,5.0,t,f,0,t,g,0.0,4000,1
a,22.58,10.75,u,g,q,v,0.415,t,t,5,t,g,0.0,560,1
b,27.83,1.5,u,g,w,v,2.0,t,t,11,t,g,434.0,35,1
b,27.25,1.585,u,g,cc,h,1.835,t,t,12,t,g,583.0,713,1
a,23.0,11.75,u,g,x,h,0.5,t,t,2,t,g,300.0,551,1
b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,260.0,500,1
b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,30.0,300,1
b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,0.0,221,1
b,28.92,15.0,u,g,c,h,5.335,t,t,11,f,g,0.0,2283,1
b,29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,240.0,100,1
b,39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,70.0,0,1
b,56.42,28.0,y,p,c,v,28.5,t,t,40,f,g,0.0,15,1
b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0.0,284,1
a,41.0,2.04,y,p,q,h,0.125,t,t,23,t,g,455.0,1236,1
b,31.92,4.46,u,g,cc,h,6.04,t,t,3,f,g,311.0,300,1
b,41.5,1.54,u,g,i,bb,3.5,f,f,0,f,g,216.0,0,1
b,23.92,0.665,u,g,c,v,0.165,f,f,0,f,g,100.0,0,1
a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,491.0,0,1
b,26.0,1.0,u,g,q,v,1.75,t,f,0,t,g,280.0,0,1
b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,400.0,5800,1
b,34.92,2.5,u,g,w,v,0.0,t,f,0,t,g,239.0,200,1
b,34.25,3.0,u,g,cc,h,7.415,t,f,0,t,g,0.0,0,1
b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,160.0,300,1
b,23.17,0.0,u,g,cc,v,0.085,t,f,0,f,g,0.0,0,1
b,44.33,0.5,u,g,i,h,5.0,t,f,0,t,g,320.0,0,1
b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711.0,0,1
b,43.25,3.0,u,g,q,h,6.0,t,t,11,f,g,80.0,0,1
b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,200.0,0,1
b,31.67,16.165,u,g,d,v,3.0,t,t,9,f,g,250.0,730,1
a,23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,80.0,400,1
a,20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,0.0,0,1
b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120.0,0,1
b,34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,520.0,50000,1
a,36.0,1.0,u,g,c,v,2.0,t,t,11,f,g,0.0,456,1
b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260.0,15108,1
b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80.0,2954,1
b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,515.0,500,1
b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420.0,0,0
b,34.83,4.0,u,g,d,bb,12.5,t,f,0,t,g,0.0,0,0
